Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Number of patrons,Location
2017,54,109954,109954,15-19 Warburton Lane,Melbourne (CBD),Murmur,50,"(-37.81381239, 144.9618462)"
2017,801,559161,559161,3-7 Riverside Quay,Southbank,Belgian Beer Cafe Melbourne,638,"(-37.82166549, 144.9645668)"
2017,66,109392,109392,248-258 Swanston Street,Melbourne (CBD),Rooftop Cinema & Bar,200,"(-37.81199559, 144.9652504)"
2017,33,105936,105936,433 Little Collins Street,Melbourne (CBD),Dikstein's Corner Bar,145,"(-37.81631094, 144.9603413)"
2017,804,110988,110988,29-65 South Wharf Promenade,Southbank,Munich Brau Haus,"1,100","(-37.82409303, 144.9503336)"
2017,753,110606,110380,3 Southgate Avenue,Southbank,P J O'Briens Irish Pub & Side Bar,549,"(-37.82066923, 144.9662623)"
2017,66,635138,635138,13 Heffernan Lane,Melbourne (CBD),Union Electric,72,"(-37.81180178, 144.9665913)"
2017,1103,558180,558180,122-148 Harbour Esplanade,Docklands,The Medallion Club,"5,000","(-37.81656591, 144.9475776)"
2017,1101,108973,108973,85-161 Spencer Street,Docklands,Network Public Bar & Pizzeria,325,"(-37.81815358, 144.9523393)"
2017,85,105746,105746,183-265 La Trobe Street,Melbourne (CBD),Hush Bar @ Melbourne Central,200,"(-37.81073331, 144.9630189)"
2017,904,556742,556742,419-443 Royal Parade,Parkville,Vibe Hotel,69,"(-37.78289944, 144.958804)"
2017,85,105746,105746,183-265 La Trobe Street,Melbourne (CBD),Strike Melbourne Central,760,"(-37.81073331, 144.9630189)"
2017,43,108068,108068,111-129 Queen Street,Melbourne (CBD),CQ Bar,100,"(-37.81581152, 144.9606367)"
2017,56,101202,101202,206-218 Bourke Street,Melbourne (CBD),Xiang Club,150,"(-37.81259409, 144.9668768)"
2017,27,597183,102071,121-131 Collins Street,Melbourne (CBD),Spice Market,800,"(-37.81516811, 144.9698467)"
2017,1109,560004,560004,24-42 Newquay Promenade,Docklands,Vacant,321,"(-37.81434525, 144.942139)"
2017,369,103507,103507,86-90 Errol Street,North Melbourne,The Courthouse Hotel,50,"(-37.80287733, 144.9499557)"
2017,57,101216,101216,21-25 Croft Alley,Melbourne (CBD),The Croft Institute,250,"(-37.81206249, 144.9690881)"
2017,14,103946,103946,313-315 Flinders Lane,Melbourne (CBD),Randy Dragon,100,"(-37.81763918, 144.9638507)"
2017,48,105968,105968,62-66 Little Collins Street,Melbourne (CBD),Magic Mountain Saloon,285,"(-37.81280958, 144.971442)"
2017,1110,593739,593739,99-127 Pearl River Road,Docklands,Igloo Cafe & St Moritz Bar,100,"(-37.81223232, 144.9356321)"
2017,64,105704,105704,377-381 Lonsdale Street,Melbourne (CBD),Trapt Bar & Escape Rooms,331,"(-37.81291055, 144.9614648)"
2017,71,105318,105318,277-287 King Street,Melbourne (CBD),Hotel Sophia,116,"(-37.81367535, 144.9541999)"
2017,355,105636,105636,46-50 Leveson Street,North Melbourne,The Leveson,400,"(-37.80370014, 144.9514591)"
2017,803,111175,110477,8 Whiteman Street,Southbank,Jackpot Bar,80,"(-37.82312164, 144.9586604)"
2017,260,103276,103276,614-616 Elizabeth Street,Carlton,The Last Jar,250,"(-37.80389369, 144.9589387)"
2017,56,101207,101207,184-186 Bourke Street,Melbourne (CBD),Stars KTV and Lounge,204,"(-37.81267583, 144.9676888)"
2017,1103,558180,558180,122-148 Harbour Esplanade,Docklands,Captains Bar,80,"(-37.81656591, 144.9475776)"
2017,55,109284,109284,191-205 Swanston Street,Melbourne (CBD),Black Opal,200,"(-37.81309229, 144.9649993)"
2017,804,110988,110988,29-65 South Wharf Promenade,Southbank,Plus 5,90,"(-37.82409303, 144.9503336)"
2017,801,110326,110326,4 Riverside Quay,Southbank,Soho Restaurant & Bar,200,"(-37.82092509, 144.9633758)"
2017,46,109413,109413,146 Swanston Street,Melbourne (CBD),Cabinet Bar,90,"(-37.81417648, 144.9662039)"
2017,710,108617,108617,375-385 St Kilda Road,Melbourne (Remainder),Royce Hotel,120,"(-37.83506751, 144.9755139)"
2017,84,103207,103207,315-321 Elizabeth Street,Melbourne (CBD),The Meeting Place,250,"(-37.81124935, 144.9614724)"
2017,54,104653,104653,21-25 Hardware Lane,Melbourne (CBD),Campari House,326,"(-37.81409153, 144.9613142)"
2017,33,105933,105933,425-427 Little Collins Street,Melbourne (CBD),The Irish Times,170,"(-37.8162542, 144.9605354)"
2017,48,503031,503031,19-23 Meyers Place,Melbourne (CBD),Loop Project Space & Bar,152,"(-37.8121518, 144.9721078)"
2017,21,606461,606461,607-623 Collins Street,Melbourne (CBD),Batman's Hill On Collins Hotel,"1,500","(-37.81929312, 144.95469)"
2017,376,508976,110862,42 Courtney Street,North Melbourne,Metropolitan Hotel,100,"(-37.80139544, 144.9540178)"
2017,16,108532,108532,27-37 Russell Street,Melbourne (CBD),Whiskey Den,40,"(-37.81598754, 144.9692478)"
2017,67,105675,105675,113 Lonsdale Street,Melbourne (CBD),Seamstress,160,"(-37.81056538, 144.9690111)"
2017,78,110721,580091,33-39 Little Lonsdale Street,Melbourne (CBD),The Fringe,400,"(-37.8091842, 144.9707325)"
2017,6,578321,573333,2 Swanston Street,Melbourne (CBD),Beer De Luxe,"1,000","(-37.81784465, 144.9699175)"
2017,46,101130,101130,193-199 Bourke Street,Melbourne (CBD),The Carlton Hotel,366,"(-37.81320485, 144.9676452)"
2017,58,101230,101230,54-62 Bourke Street,Melbourne (CBD),Romeo Lane,25,"(-37.81156933, 144.9713808)"
2017,214,106186,106186,414-422 Lygon Street,Carlton,Astor Hotel,120,"(-37.79694555, 144.9678126)"
2017,76,589841,105749,221 Little Lonsdale Street,Melbourne (CBD),Father's Office,370,"(-37.810658, 144.9657034)"
2017,12,105401,105401,14-20 King Street,Melbourne (CBD),Tramp Bar,200,"(-37.81977635, 144.9577148)"
2017,57,101221,101221,94-96 Bourke Street,Melbourne (CBD),The Elephant and Wheelbarrow,450,"(-37.81191058, 144.9702485)"
2017,46,108536,108536,115-127 Russell Street,Melbourne (CBD),Portland Hotel,414,"(-37.81367486, 144.9681892)"
2017,18,108977,108977,25-31 Spring Street,Melbourne (CBD),HiHou,80,"(-37.81454561, 144.9741019)"
2017,17,574438,574438,84-94 Flinders Street,Melbourne (CBD),Eau-De-Vie,150,"(-37.81587662, 144.9716757)"
2017,65,109292,109292,243-249 Swanston Street,Melbourne (CBD),The Lounge,212,"(-37.81230108, 144.9647365)"
2017,35,109271,109271,125-133 Swanston Street,Melbourne (CBD),Max Watt's,800,"(-37.81472467, 144.9658102)"
2017,58,105828,105828,19-25 Little Bourke Street,Melbourne (CBD),Mrs Parma's,300,"(-37.81074304, 144.9719903)"
2017,12,105399,105399,26-32 King Street,Melbourne (CBD),Clique Bar,222,"(-37.81952934, 144.957466)"
2017,441,108856,108856,475-477 Spencer Street,West Melbourne (Residential),Hotel Spencer Bar & Dining Room,150,"(-37.80956913, 144.9492503)"
2017,270,579293,104468,230 Grattan Street,Parkville,University House Club,611,"(-37.79739836, 144.9612468)"
2017,803,111175,110477,8 Whiteman Street,Southbank,Lagerfield Bar & Beer Garden,650,"(-37.82312164, 144.9586604)"
2017,48,101116,101116,79-85 Bourke Street,Melbourne (CBD),Good Heavens,400,"(-37.81217956, 144.9710404)"
2017,45,105960,105960,318-322 Little Collins Street,Melbourne (CBD),New Guernica,380,"(-37.81488174, 144.9640121)"
2017,15,103944,103944,277-279 Flinders Lane,Melbourne (CBD),The Mill House Bar,400,"(-37.81724201, 144.9652979)"
2017,730,110401,110401,334-342 City Road,Southbank,Urban Central Accomodation / bar334,334,"(-37.82783816, 144.9573539)"
2017,103,100160,100160,196-200 A'Beckett Street,Melbourne (CBD),Nomads Industry Backpackers,200,"(-37.80998494, 144.9574447)"
2017,42,105392,105392,120-138 King Street,Melbourne (CBD),El Coco,500,"(-37.81703156, 144.9564078)"
2017,78,103618,103618,242-284 Exhibition Street,Melbourne (CBD),Coopers Inn,400,"(-37.80941489, 144.9699756)"
2017,2530,616160,616160,265-271 Racecourse Road,Kensington,The Quiet Man Irishman  Pub,400,"(-37.78860982, 144.9323559)"
2017,48,101113,101113,59-63 Bourke Street,Melbourne (CBD),Club Asuka,150,"(-37.81212537, 144.9715659)"
2017,12,104824,104824,11A Highlander Lane,Melbourne (CBD),Highlander Bar,202,"(-37.81970334, 144.9579702)"
2017,85,109302,109302,281-287 Swanston Street,Melbourne (CBD),Mui Karaoke,243,"(-37.81143223, 144.9643593)"
2017,67,102199,102199,16-20 Corrs Lane,Melbourne (CBD),House of Maximon / Berlin Bar,300,"(-37.81112914, 144.9683854)"
2017,327,102352,102352,171-173 Curzon Street,North Melbourne,Albion Hotel,100,"(-37.79889904, 144.9485505)"
2017,803,111175,110477,8 Whiteman Street,Southbank,The Atlantic/The Den /The Oyster Bar & Grill/ Fish & Chippery by The Atlantic,508,"(-37.82312164, 144.9586604)"
2017,51,108963,108963,672-696 Bourke Street,Melbourne (CBD),Mail Exchange Hotel,600,"(-37.81663038, 144.9535902)"
