Census year	Block ID	Property ID	Base property ID	Street address	CLUE small area	Trading name	Industry (ANZSIC4) code	Industry (ANZSIC4) description	Seating type	Number of seats	xcoord	ycoord	Location				
2017	246	104449	104449	117 Grattan Street	Carlton	Roy's Cafe	4511	Cafes and Restaurants	Seats - Outdoor	21	144.9656241	-37.80080042	"(-37.80080042, 144.9656241)"				
2017	786	602733	110589	1 Phillip Court	Port Melbourne	Felicci's	4511	Cafes and Restaurants	Seats - Outdoor	44	144.920988	-37.82600955	"(-37.82600955, 144.920988)"				
2017	72	105726	110707	550 Lonsdale Street	Melbourne (CBD)	Donoghue's	4511	Cafes and Restaurants	Seats - Indoor	50	144.9560169	-37.8134766	"(-37.8134766, 144.9560169)"				
2017	34	103176	103176	97-103 Elizabeth Street	Melbourne (CBD)	Subway	4511	Cafes and Restaurants	Seats - Indoor	16	144.9634979	-37.81592157	"(-37.81592157, 144.9634979)"				
2017	113	110688	108118	65-81 Victoria Street	Melbourne (CBD)	Funk Fish	4512	Takeaway Food Services	Seats - Indoor	24	144.9572395	-37.80745984	"(-37.80745984, 144.9572395)"				
2017	52	592048	592048	188-202 King Street	Melbourne (CBD)	La Di Da	4511	Cafes and Restaurants	Seats - Outdoor	80	144.9556244	-37.81551353	"(-37.81551353, 144.9556244)"				
2017	801	110326	110326	4 Riverside Quay	Southbank	Hopscotch	4511	Cafes and Restaurants	Seats - Outdoor	200	144.9633758	-37.82092509	"(-37.82092509, 144.9633758)"				
2017	34	110669	110669	353-359 Little Collins Street	Melbourne (CBD)	Viet St	4512	Takeaway Food Services	Seats - Indoor	5	144.9629844	-37.81570426	"(-37.81570426, 144.9629844)"				
2017	217	103704	103704	194-196 Faraday Street	Carlton	Yo-Chi	4511	Cafes and Restaurants	Seats - Outdoor	24	144.9680207	-37.79844782	"(-37.79844782, 144.9680207)"				
2017	1103	599505	573403	744-770 Bourke Street	Docklands	Origami Sushi & Noodles	4511	Cafes and Restaurants	Seats - Indoor	12	144.947217	-37.81817241	"(-37.81817241, 144.947217)"				
2017	619	111456	103807	Wellington Parade	East Melbourne	The Pavilion	4511	Cafes and Restaurants	Seats - Outdoor	86	144.9804557	-37.81296163	"(-37.81296163, 144.9804557)"				
2017	1101	108973	108973	85-161 Spencer Street	Docklands	Sumo Salad	4512	Takeaway Food Services	Seats - Indoor	12	144.9523393	-37.81815358	"(-37.81815358, 144.9523393)"				
2017	12	103997	103997	472-482 Flinders Street	Melbourne (CBD)	Riverside Deli & Coffee House	4511	Cafes and Restaurants	Seats - Outdoor	12	144.9582721	-37.81974184	"(-37.81974184, 144.9582721)"				
2017	354	105606	105606	19-21 Leveson Street	North Melbourne	Di Bella Coffee	4511	Cafes and Restaurants	Seats - Indoor	60	144.9505945	-37.80447359	"(-37.80447359, 144.9505945)"				
2017	360	102034	102034	1-3 Cobden Street	North Melbourne	Yeonga	4511	Cafes and Restaurants	Seats - Indoor	96	144.956923	-37.80560474	"(-37.80560474, 144.956923)"				
2017	64	104660	104660	75-77 Hardware Lane	Melbourne (CBD)	Amigos Hardware Lane	4511	Cafes and Restaurants	Seats - Outdoor	44	144.9608667	-37.8131434	"(-37.8131434, 144.9608667)"				
2017	375	103809	103809	1-3 Flemington Road	North Melbourne	Turf Club Hotel	4520	"Pubs, Taverns and Bars"	Seats - Outdoor	64	144.9563792	-37.80130394	"(-37.80130394, 144.9563792)"				
2017	78	603923	580091	32-54 Lonsdale Street	Melbourne (CBD)	Degani At Urban Workshop	4511	Cafes and Restaurants	Seats - Indoor	36	144.9707325	-37.8091842	"(-37.8091842, 144.9707325)"				
2017	921	109209	109209	77 Story Street	Parkville	University High School Canteen	4511	Cafes and Restaurants	Seats - Indoor	100	144.9560633	-37.79746671	"(-37.79746671, 144.9560633)"				
2017	15	104014	104014	228-236 Flinders Street	Melbourne (CBD)	Alice Nevins	4511	Cafes and Restaurants	Seats - Indoor	10	144.9665517	-37.81724878	"(-37.81724878, 144.9665517)"				
2017	66	109390	109390	264-266 Swanston Street	Melbourne (CBD)	Goldilocks	4520	"Pubs, Taverns and Bars"	Seats - Outdoor	40	144.9651474	-37.81181063	"(-37.81181063, 144.9651474)"				
2017	97	588500	108562	336 Russell Street	Melbourne (CBD)	Blu Point Caffe	4511	Cafes and Restaurants	Seats - Outdoor	26	144.9664575	-37.80822377	"(-37.80822377, 144.9664575)"				
2017	333	107975	107975	610 Queensberry Street	North Melbourne	Elceed Cafe	4511	Cafes and Restaurants	Seats - Indoor	24	144.9471385	-37.80252643	"(-37.80252643, 144.9471385)"				
2017	15	104010	104010	256-268 Flinders Street	Melbourne (CBD)	Sea Salt	4511	Cafes and Restaurants	Seats - Indoor	26	144.9656264	-37.81760781	"(-37.81760781, 144.9656264)"				
2017	245	104450	104450	251-257 Cardigan Street	Carlton	Domino's Pizza	4512	Takeaway Food Services	Seats - Indoor	15	144.9651037	-37.80077102	"(-37.80077102, 144.9651037)"				
2017	48	106559	106559	20 Meyers Place	Melbourne (CBD)	Meyers Place Bar	4520	"Pubs, Taverns and Bars"	Seats - Indoor	63	144.9723505	-37.81207814	"(-37.81207814, 144.9723505)"				
2017	52	101172	101172	578-606 Bourke Street	Melbourne (CBD)	"The Attic, Artisan Bread And Cafe"	4511	Cafes and Restaurants	Seats - Outdoor	6	144.9561073	-37.81571393	"(-37.81571393, 144.9561073)"				
2017	340	102788	102788	95 Dryburgh Street	North Melbourne	North Melbourne Takeaway & Snack Bar	4512	Takeaway Food Services	Seats - Indoor	12	144.9429106	-37.80428921	"(-37.80428921, 144.9429106)"				
2017	513	103033	103033	457-469 Macaulay Road	Kensington	Taco Bill	4511	Cafes and Restaurants	Seats - Outdoor	12	144.9315233	-37.79484451	"(-37.79484451, 144.9315233)"				
2017	25	101789	101789	252-254 Flinders Lane	Melbourne (CBD)	3 Lt Monkeys	4512	Takeaway Food Services	Seats - Outdoor	4	144.9655966	-37.8166033	"(-37.8166033, 144.9655966)"				
2017	1	611394	611394	545-557 Flinders Street	Melbourne (CBD)	Eat Pizza Flinders Street	4512	Takeaway Food Services	Seats - Indoor	6	144.9565185	-37.82099397	"(-37.82099397, 144.9565185)"				
2017	24	110762	110762	303-317 Collins Street	Melbourne (CBD)	Cafe On Collins	4511	Cafes and Restaurants	Seats - Outdoor	17	144.9638231	-37.81662708	"(-37.81662708, 144.9638231)"				
2017	1105	605909	605909	705-715 Collins Street	Docklands	Chiara	4511	Cafes and Restaurants	Seats - Outdoor	20	144.9511863	-37.82096812	"(-37.82096812, 144.9511863)"				
2017	72	110708	110707	535 Little Lonsdale Street	Melbourne (CBD)	Jung Gun Restaurant	4511	Cafes and Restaurants	Seats - Indoor	42	144.9560169	-37.8134766	"(-37.8134766, 144.9560169)"				
2017	68	108989	108989	199-207 Spring Street	Melbourne (CBD)	Father John Cafe	4511	Cafes and Restaurants	Seats - Indoor	18	144.9720594	-37.81012699	"(-37.81012699, 144.9720594)"				
2017	243	105654	105654	22-40 Lincoln Square North	Carlton	Bouverie Deli	4511	Cafes and Restaurants	Seats - Outdoor	36	144.9627288	-37.8013409	"(-37.8013409, 144.9627288)"				
2017	423	109719	109719	357 Victoria Street	West Melbourne (Residential)	Smile Thai Restaurant	4511	Cafes and Restaurants	Seats - Outdoor	4	144.949623	-37.80538734	"(-37.80538734, 144.949623)"				
2017	612	100373	100373	84-90 Albert Street	East Melbourne	Chi Cafe	4512	Takeaway Food Services	Seats - Outdoor	8	144.9881385	-37.81042804	"(-37.81042804, 144.9881385)"				
2017	2524	616011	616011	482 Macaulay Road	Kensington	Jerry's Burgers 'n' Fries	4511	Cafes and Restaurants	Seats - Indoor	24	144.9299704	-37.79424521	"(-37.79424521, 144.9299704)"				
2017	752	110734	110733	100 St Kilda Road	Southbank	Fatto Bar & Cantina	4511	Cafes and Restaurants	Seats - Indoor	80	144.9682264	-37.82094188	"(-37.82094188, 144.9682264)"				
2017	256	518847	518847	19-21 Lincoln Square South	Carlton	Kaprica	4511	Cafes and Restaurants	Seats - Outdoor	15	144.9627813	-37.80336259	"(-37.80336259, 144.9627813)"				
2017	35	109267	109267	220-226 Collins Street	Melbourne (CBD)	1932 Cafe & Restaurant	4511	Cafes and Restaurants	Seats - Indoor	32	144.9661258	-37.81528474	"(-37.81528474, 144.9661258)"				
2017	906	108505	108505	367-377 Royal Parade	Parkville	Oshin Sushi Bar	4511	Cafes and Restaurants	Seats - Indoor	20	144.9585626	-37.7849288	"(-37.7849288, 144.9585626)"				
2017	35	103325	103325	84-86 Elizabeth Street	Melbourne (CBD)	Hudsons Elizabeth Street	4511	Cafes and Restaurants	Seats - Outdoor	8	144.9641934	-37.81591326	"(-37.81591326, 144.9641934)"				
2017	32	102116	102116	516-520 Collins Street	Melbourne (CBD)	Feast @ 520	4511	Cafes and Restaurants	Seats - Outdoor	20	144.9572629	-37.81780327	"(-37.81780327, 144.9572629)"				
2017	354	103520	103520	34 Errol Street	North Melbourne	KL Bunga Raya	4511	Cafes and Restaurants	Seats - Indoor	40	144.9497225	-37.80435713	"(-37.80435713, 144.9497225)"				
2017	38	105913	105913	57-67 Little Collins Street	Melbourne (CBD)	Sakura Kaiten Sushi	4511	Cafes and Restaurants	Seats - Indoor	34	144.9716953	-37.81309819	"(-37.81309819, 144.9716953)"				
2017	38	102165	102165	52-54 Collins Street	Melbourne (CBD)	Koko Black Chocolate	4511	Cafes and Restaurants	Seats - Indoor	65	144.9718392	-37.81355886	"(-37.81355886, 144.9718392)"				
2017	257	105516	105516	154-160 Leicester Street	Carlton	The Corkman Irish Pub	4520	"Pubs, Taverns and Bars"	Seats - Outdoor	10	144.960916	-37.80243195	"(-37.80243195, 144.960916)"				
2017	37	102157	102157	90-98 Collins Street	Melbourne (CBD)	Entrecote City	4511	Cafes and Restaurants	Seats - Indoor	65	144.9702813	-37.8139675	"(-37.8139675, 144.9702813)"				
2017	37	105915	105915	121-127 Little Collins Street	Melbourne (CBD)	Harry's At Stamford	4511	Cafes and Restaurants	Seats - Outdoor	8	144.9697676	-37.8136886	"(-37.8136886, 144.9697676)"				
2017	13	104002	104002	376-388 Flinders Street	Melbourne (CBD)	Iseya Icecream Bar And Cafe	4512	Takeaway Food Services	Seats - Indoor	20	144.9615299	-37.81884626	"(-37.81884626, 144.9615299)"				
2017	369	108001	108001	502 Queensberry Street	North Melbourne	Mr Price's Food Store	4511	Cafes and Restaurants	Seats - Indoor	30	144.9506624	-37.8028658	"(-37.8028658, 144.9506624)"				
2017	1109	601809	593728	425-427 Docklands Drive	Docklands	Waterfront Venues	7299	Other Administrative Services n.e.c.	Seats - Indoor	460	144.9390269	-37.81517782	"(-37.81517782, 144.9390269)"				
2017	68	105672	105672	53-57 Lonsdale Street	Melbourne (CBD)	Healthy Nibbles Cafe	4511	Cafes and Restaurants	Seats - Indoor	16	144.9707149	-37.81005686	"(-37.81005686, 144.9707149)"				
2017	21	579252	579252	559-587 Collins Street	Melbourne (CBD)	Earl Canteen	4511	Cafes and Restaurants	Seats - Indoor	10	144.9557275	-37.81902044	"(-37.81902044, 144.9557275)"				
2017	14	103946	103946	313-315 Flinders Lane	Melbourne (CBD)	Randy Dragon	4520	"Pubs, Taverns and Bars"	Seats - Indoor	50	144.9638507	-37.81763918	"(-37.81763918, 144.9638507)"				
2017	33	105937	105937	435-443 Little Collins Street	Melbourne (CBD)	Little Colin	4511	Cafes and Restaurants	Seats - Indoor	10	144.9600859	-37.81638558	"(-37.81638558, 144.9600859)"				
2017	333	107981	107981	594 Queensberry Street	North Melbourne	Twenty & Six Espresso	4511	Cafes and Restaurants	Seats - Indoor	26	144.9475392	-37.80257072	"(-37.80257072, 144.9475392)"				
2017	2524	616030	616030	192-194 Bellair Street	Kensington	Spinifex Cafe	4511	Cafes and Restaurants	Seats - Outdoor	10	144.9300585	-37.79405204	"(-37.79405204, 144.9300585)"				
2017	252	574431	106250	118 Lygon Street	Carlton	Grilled 118	4511	Cafes and Restaurants	Seats - Indoor	30	144.9666993	-37.80443778	"(-37.80443778, 144.9666993)"				
2017	113	110679	108118	Peel Street	Melbourne (CBD)	Romeo Takeaway Cafe	4512	Takeaway Food Services	Seats - Indoor	6	144.9572395	-37.80745984	"(-37.80745984, 144.9572395)"				
2017	65	109300	109300	273 Swanston Street	Melbourne (CBD)	Taiwan Cafe	4511	Cafes and Restaurants	Seats - Indoor	56	144.9645317	-37.81185964	"(-37.81185964, 144.9645317)"				
2017	67	105679	105679	131-137 Lonsdale Street	Melbourne (CBD)	Footlights Restaurant	4511	Cafes and Restaurants	Seats - Indoor	80	144.96853	-37.81098009	"(-37.81098009, 144.96853)"				
2017	2524	616033	616033	190 Bellair Street	Kensington	Karelay Patisserie	4511	Cafes and Restaurants	Seats - Outdoor	22	144.9300805	-37.79395787	"(-37.79395787, 144.9300805)"				
2017	48	106560	106560	12-18 Meyers Place	Melbourne (CBD)	Lily Blacks	4511	Cafes and Restaurants	Seats - Indoor	100	144.972451	-37.81221617	"(-37.81221617, 144.972451)"				
2017	37	102161	102161	76-84 Collins Street	Melbourne (CBD)	Mediterranean Deli	4511	Cafes and Restaurants	Seats - Indoor	4	144.9707087	-37.81358646	"(-37.81358646, 144.9707087)"				
2017	84	104560	104560	33-35 Guildford Lane	Melbourne (CBD)	Rustica Canteen	4511	Cafes and Restaurants	Seats - Outdoor	4	144.9598612	-37.81146107	"(-37.81146107, 144.9598612)"				
2017	68	108989	108989	199-207 Spring Street	Melbourne (CBD)	Hudson's Coffee	4511	Cafes and Restaurants	Seats - Indoor	25	144.9720594	-37.81012699	"(-37.81012699, 144.9720594)"				
2017	804	623557	110484	2 Clarendon Street	Southbank	Melbourne Exhibition Centre	7299	Other Administrative Services n.e.c.	Seats - Indoor	31	144.9523782	-37.82539976	"(-37.82539976, 144.9523782)"				
2017	56	101204	101204	194-200 Bourke Street	Melbourne (CBD)	Red Silks Restaurant & Bar	4511	Cafes and Restaurants	Seats - Outdoor	80	144.9672768	-37.8124312	"(-37.8124312, 144.9672768)"				
2017	53	101176	101176	494-512 Bourke Street	Melbourne (CBD)	Movida Aqui	4511	Cafes and Restaurants	Seats - Outdoor	50	144.9587607	-37.81494883	"(-37.81494883, 144.9587607)"				
2017	270	664629	104468	230 Grattan Street	Parkville	Percys Grainger Museum Cafe	4512	Takeaway Food Services	Seats - Indoor	16	144.9612468	-37.79739836	"(-37.79739836, 144.9612468)"				
2017	15	104014	104014	228-236 Flinders Street	Melbourne (CBD)	Ratee Thai	4511	Cafes and Restaurants	Seats - Outdoor	36	144.9665517	-37.81724878	"(-37.81724878, 144.9665517)"				
2017	345	103402	103402	33 Errol Street	North Melbourne	Townhall Hotel North Melbourne	4520	"Pubs, Taverns and Bars"	Seats - Outdoor	34	144.9489068	-37.80414139	"(-37.80414139, 144.9489068)"				
2017	710	108625	108625	407B-407D St Kilda Road	Melbourne (Remainder)	Subway	4512	Takeaway Food Services	Seats - Indoor	8	144.9762096	-37.836275	"(-37.836275, 144.9762096)"				
2017	25	102079	102079	221-231 Collins Street	Melbourne (CBD)	Om Vegetarian	4511	Cafes and Restaurants	Seats - Indoor	48	144.9663304	-37.81584476	"(-37.81584476, 144.9663304)"				
2017	866	110944	110944	65W Toorak Road	South Yarra	Fawkner Park Tennis Centre	4511	Cafes and Restaurants	Seats - Outdoor	15	144.9800012	-37.83804253	"(-37.83804253, 144.9800012)"				
2017	72	110708	110707	535 Little Lonsdale Street	Melbourne (CBD)	Seven Star Korea	4511	Cafes and Restaurants	Seats - Indoor	68	144.9560169	-37.8134766	"(-37.8134766, 144.9560169)"				
2017	131	103978	111287	18-38 Siddeley Street	Docklands	Man Mo @ Wtc	4511	Cafes and Restaurants	Seats - Outdoor	60	144.9536422	-37.82253633	"(-37.82253633, 144.9536422)"				
2017	801	110335	110335	1-9 Southbank Boulevard	Southbank	Left Bank Melbourne	4511	Cafes and Restaurants	Seats - Outdoor	75	144.9628914	-37.8210403	"(-37.8210403, 144.9628914)"				
2017	54	105844	105844	361-363 Little Bourke Street	Melbourne (CBD)	Tipo 00	4511	Cafes and Restaurants	Seats - Indoor	44	144.9619926	-37.81358648	"(-37.81358648, 144.9619926)"				
2017	113	110690	108118	507-523 Elizabeth Street	Melbourne (CBD)	Coffea Coffee	4511	Cafes and Restaurants	Seats - Outdoor	27	144.9572395	-37.80745984	"(-37.80745984, 144.9572395)"				
2017	38	102172	102172	8 Collins Street	Melbourne (CBD)	La Belle Miette	4129	Other Specialised Food Retailing	Seats - Outdoor	6	144.9732575	-37.81314231	"(-37.81314231, 144.9732575)"				
2017	1109	601815	601815	397-407 Docklands Drive	Docklands	Replay cafe	4511	Cafes and Restaurants	Seats - Outdoor	6	144.9401994	-37.81427742	"(-37.81427742, 144.9401994)"				
2017	354	103520	103520	34 Errol Street	North Melbourne	KL Bunga Raya	4511	Cafes and Restaurants	Seats - Outdoor	14	144.9497225	-37.80435713	"(-37.80435713, 144.9497225)"				
2017	252	111064	106250	114 Lygon Street	Carlton	Killiney Kopitiam	4511	Cafes and Restaurants	Seats - Indoor	27	144.9666993	-37.80443778	"(-37.80443778, 144.9666993)"				
2017	31	105945	105945	601-611 Little Collins Street	Melbourne (CBD)	Spicy Korea	4511	Cafes and Restaurants	Seats - Indoor	38	144.9549054	-37.81802782	"(-37.81802782, 144.9549054)"				
2017	28	102063	102060	45 Collins Street	Melbourne (CBD)	Tazio Birraria & Pizzeria	4511	Cafes and Restaurants	Seats - Indoor	60	144.9726281	-37.81430616	"(-37.81430616, 144.9726281)"				
2017	1108	613252	613252	790-814 Collins Street	Docklands	Panda Loves Fish	4511	Cafes and Restaurants	Seats - Outdoor	18	144.9458305	-37.821044	"(-37.821044, 144.9458305)"				
